country,totalCases,totalDeaths,totalRecovered,percentDeaths,percentRecovered,rankPercentRecovered,rankPercentDeaths
British Virgin Islands,7305.0,64.0,,0.88,-1.0,-1,115
Cook Islands,7152.0,2.0,7150.0,0.03,99.97,4,222
Turks and Caicos,6630.0,39.0,6576.0,0.59,99.19,48,153
Saint Kitts and Nevis,6607.0,48.0,6559.0,0.73,99.27,40,132
Sao Tome and Principe,6595.0,80.0,6509.0,1.21,98.7,83,86
Palau,6228.0,9.0,6211.0,0.14,99.73,12,208
St. Barth,5507.0,6.0,,0.11,-1.0,-1,212
Nauru,5393.0,1.0,5347.0,0.02,99.15,50,225
Kiribati,5085.0,24.0,2703.0,0.47,53.16,199,168
Anguilla,3904.0,12.0,3879.0,0.31,99.36,33,188
Wallis and Futuna,3550.0,8.0,438.0,0.23,12.34,205,194
Saint Pierre Miquelon,3452.0,2.0,2449.0,0.06,70.94,193,221
Tuvalu,2943.0,1.0,,0.03,-1.0,-1,222
Saint Helena,2166.0,,2.0,-1.0,0.09,209,-1
Falkland Islands,1930.0,,1930.0,-1.0,100.0,1,-1
Montserrat,1403.0,8.0,1376.0,0.57,98.08,109,157
Niue,880.0,,851.0,-1.0,96.7,146,-1
Diamond Princess,712.0,13.0,699.0,1.83,98.17,102,57
Tokelau,80.0,,,-1.0,-1.0,-1,-1
Vatican City,29.0,,29.0,-1.0,100.0,1,-1
Western Sahara,10.0,1.0,9.0,10.0,90.0,174,3
MS Zaandam,9.0,2.0,7.0,22.22,77.78,189,1
